platform,platformId,platformUrl,unifiedProblemId
LEETCODE,1,https://leetcode.cn/problems/two-sum/,problem:two-sum
NOWCODER,NC001,https://www.nowcoder.com/practice/20ef0972485e41019e39543e8e895b7f,problem:two-sum
LEETCODE,2,https://leetcode.cn/problems/add-two-numbers/,problem:add-two-numbers
NOWCODER,NC002,https://www.nowcoder.com/practice/c56f6c70fb3f4849bc56e33ff2a50b6b,problem:add-two-numbers
LEETCODE,3,https://leetcode.cn/problems/longest-substring-without-repeating-characters/,problem:longest-substring-without-repeating
NOWCODER,NC003,https://www.nowcoder.com/practice/b56799ebfd684fb394bd315e89324fb4,problem:longest-substring-without-repeating
LEETCODE,15,https://leetcode.cn/problems/3sum/,problem:three-sum
NOWCODER,NC004,https://www.nowcoder.com/practice/345e2ed5f81d4017bbb8cc6055b0b711,problem:three-sum
LEETCODE,20,https://leetcode.cn/problems/valid-parentheses/,problem:valid-parentheses
NOWCODER,NC005,https://www.nowcoder.com/practice/37548e94a47643dead5df6d8d09ce8a0,problem:valid-parentheses
LEETCODE,21,https://leetcode.cn/problems/merge-two-sorted-lists/,problem:merge-two-sorted-lists
NOWCODER,NC006,https://www.nowcoder.com/practice/d8b6b4358f774294a89de2a6ac4d9337,problem:merge-two-sorted-lists
LEETCODE,53,https://leetcode.cn/problems/maximum-subarray/,problem:maximum-subarray
NOWCODER,NC007,https://www.nowcoder.com/practice/459bd355da1549fa8a49e350bf3df484,problem:maximum-subarray
LEETCODE,70,https://leetcode.cn/problems/climbing-stairs/,problem:climbing-stairs
NOWCODER,NC008,https://www.nowcoder.com/practice/8c82a5b80378478f9484d87d1c5f12a4,problem:climbing-stairs
LEETCODE,121,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock/,problem:best-time-to-buy-and-sell-stock
NOWCODER,NC009,https://www.nowcoder.com/practice/64b4262d4e6d4f6181cd45446a5821ec,problem:best-time-to-buy-and-sell-stock
LEETCODE,141,https://leetcode.cn/problems/linked-list-cycle/,problem:linked-list-cycle
NOWCODER,NC010,https://www.nowcoder.com/practice/650474f313294468a4f26d02b6ef6ec6,problem:linked-list-cycle
LEETCODE,206,https://leetcode.cn/problems/reverse-linked-list/,problem:reverse-linked-list
NOWCODER,NC011,https://www.nowcoder.com/practice/75e878df47f24fdc9dc3e400ec6058ca,problem:reverse-linked-list
LEETCODE,200,https://leetcode.cn/problems/number-of-islands/,problem:number-of-islands
NOWCODER,NC012,https://www.nowcoder.com/practice/0c9664d1554e466aa107d899418e814e,problem:number-of-islands
LEETCODE,102,https://leetcode.cn/problems/binary-tree-level-order-traversal/,problem:binary-tree-level-order-traversal
NOWCODER,NC013,https://www.nowcoder.com/practice/04a5560e43e24e9db4595f905ad8593f,problem:binary-tree-level-order-traversal
LEETCODE,104,https://leetcode.cn/problems/maximum-depth-of-binary-tree/,problem:maximum-depth-of-binary-tree
NOWCODER,NC014,https://www.nowcoder.com/practice/8a2b2bf6c19b4f23a9bdb9b233eefa73,problem:maximum-depth-of-binary-tree
LEETCODE,146,https://leetcode.cn/problems/lru-cache/,problem:lru-cache
NOWCODER,NC015,https://www.nowcoder.com/practice/e3769a5f49894d49b871c09f3d573eb8,problem:lru-cache
LEETCODE,46,https://leetcode.cn/problems/permutations/,problem:permutations
NOWCODER,NC016,https://www.nowcoder.com/practice/4bcf3081067a4d028f36f089f011f105,problem:permutations
LEETCODE,78,https://leetcode.cn/problems/subsets/,problem:subsets
